feed_id,agency_uid,source_agency_id,agency_name,agency_url,agency_timezone
amtrak,amtrak:1228,1228,Temporary Amtrak Chartered Vehicle,http://www.amtrak.com,America/New_York
amtrak,amtrak:147,147,Roadrunner Shuttle,https://www.amtrak.com/thruway-connecting-services-multiply-your-travel-destinations,America/New_York
amtrak,amtrak:157,157,Via Rail Canada,https://www.viarail.ca,America/New_York
amtrak,amtrak:1202,1202,Route 66 Express,http://www.amtrak.com,America/New_York
amtrak,amtrak:1207,1207,Alvand Transportation,http://www.amtrak.com,America/New_York
amtrak,amtrak:28,28,Amtrak Chartered Vehicle,http://www.amtrak.com,America/New_York
amtrak,amtrak:43,43,Arrow Trailways,https://www.amtrak.com/thruway-connecting-services-multiply-your-travel-destinations,America/New_York
amtrak,amtrak:1213,1213,Vegas Airporter,http://www.amtrak.com,America/New_York
amtrak,amtrak:117,117,Executive Transportation,https://www.amtrak.com/thruway-connecting-services-multiply-your-travel-destinations,America/New_York
amtrak,amtrak:162,162,Stagecoach Express,https://www.amtrak.com/thruway-connecting-services-multiply-your-travel-destinations,America/New_York
amtrak,amtrak:174,174,Amtrak Chartered Motorcoach,https://www.amtrak.com/thruway-connecting-services-multiply-your-travel-destinations,America/New_York
amtrak,amtrak:178,178,The Lift,http://www.amtrak.com,America/New_York
amtrak,amtrak:1220,1220,Beeline Express,http://www.amtrak.com,America/New_York
amtrak,amtrak:1227,1227,Coach Usa,https://www.amtrak.com/thruway-connecting-services-multiply-your-travel-destinations,America/New_York
amtrak,amtrak:1230,1230,Shore Line East,http://www.amtrak.com,America/New_York
amtrak,amtrak:51,51,Amtrak,http://www.amtrak.com,America/New_York
amtrak,amtrak:1232,1232,Amtrak Chartered Vehicle,http://www.amtrak.com,America/New_York
amtrak,amtrak:1233,1233,Sunway Charters,http://www.amtrak.com,America/New_York
amtrak,amtrak:1238,1238,MARC,http://www.amtrak.com,America/New_York
amtrak,amtrak:1239,1239,FLIX,http://www.amtrak.com,America/New_York
